ScenarioID,ParallelShift_bps,TwistFactor_bps,ButterflyFactor_bps,PnL_DurationEffect_INR,PnL_ConvexityEffect_INR,PnL_Total_INR,PnL_Pct,VaR_Contribution,YieldChange,PortfolioPnL_INR,Loss_INR,PnL_Bucket
21,-265.36,5.8,-23.12,3575768.72,497354.98,4073123.71,12.7049,4073123.71,-0.026536,4073051.648122713,-4073051.648122713,"(3611512.095, 4078914.63]"
22,-55.17,-53.12,3.93,743377.05,21495.42,764872.47,2.3858,764872.47,-0.005517,764910.5725192887,-764910.5725192887,"(339694.345, 807096.881]"
23,-7.56,76.0,54.68,101900.1,403.9,102304.01,0.3191,102304.01,-0.0007559999999999999,102274.3082089221,-102274.3082089221,"(-127708.19, 339694.345]"
24,-29.74,-56.8,34.86,400734.23,6246.55,406980.79,1.2695,406980.79,-0.0029739999999999996,406991.960005754,-406991.960005754,"(339694.345, 807096.881]"
25,77.05,4.26,-14.69,-1038259.63,41931.42,-996328.21,-3.1078,996328.21,0.007705,-996314.9457025541,996314.9457025541,"(-1062513.261, -595110.726]"
26,-27.59,-74.58,11.18,371781.21,5376.54,377157.74,1.1764,377157.74,-0.002759,377150.24704259244,-377150.24704259244,"(339694.345, 807096.881]"
27,-20.59,12.87,-27.44,277494.05,2995.26,280489.31,0.8749,280489.31,-0.002059,280443.55815743265,-280443.55815743265,"(-127708.19, 339694.345]"
28,108.91,15.18,-2.64,-1467616.16,83782.36,-1383833.79,-4.3165,1383833.79,0.010891,-1383781.6671695455,1383781.6671695455,"(-1529915.797, -1062513.261]"
29,-36.94,68.94,17.44,497785.23,9638.55,507423.78,1.5828,507423.78,-0.003694,507402.4709146855,-507402.4709146855,"(339694.345, 807096.881]"
30,30.47,-58.99,-36.77,-410582.42,6557.35,-404025.07,-1.2602,404025.07,0.003047,-404024.48643908685,404024.48643908685,"(-595110.726, -127708.19]"
31,-49.2,-17.58,-11.52,663013.67,17099.07,680112.75,2.1214,680112.75,-0.00492,680064.3133243731,-680064.3133243731,"(339694.345, 807096.881]"
32,78.27,50.41,-44.51,-1054729.48,43272.28,-1011457.19,-3.155,1011457.19,0.007826999999999999,-1011416.0422744169,1011416.0422744169,"(-1062513.261, -595110.726]"
33,-20.8,76.67,-24.1,280286.27,3055.84,283342.11,0.8838,283342.11,-0.0020800000000000003,283334.6878831578,-283334.6878831578,"(-127708.19, 339694.345]"
34,94.01,-16.6,13.42,-1266823.22,62425.16,-1204398.06,-3.7568,1204398.06,0.009401000000000001,-1204359.5090061256,1204359.5090061256,"(-1529915.797, -1062513.261]"
35,53.01,30.82,5.57,-714346.98,19849.34,-694497.64,-2.1663,694497.64,0.005301,-694460.1472598505,694460.1472598505,"(-1062513.261, -595110.726]"
36,-101.37,26.22,-8.53,1365979.04,72579.79,1438558.83,4.4872,1438558.83,-0.010137,1438533.0656454589,-1438533.0656454589,"(1274499.417, 1741901.952]"
37,23.72,57.96,26.2,-319613.79,3973.55,-315640.24,-0.9845,315640.24,0.002372,-315652.0307171507,315652.0307171507,"(-595110.726, -127708.19]"
38,-155.18,-71.35,-16.53,2091035.79,170078.95,2261114.74,7.0529,2261114.74,-0.015518,2261122.805912788,-2261122.805912788,"(2209304.488, 2676707.023]"
39,184.9,-28.44,-10.89,-2491546.29,241471.32,-2250074.97,-7.0185,2250074.97,0.01849,-2250053.356575497,2250053.356575497,"(-2464720.868, -1997318.332]"
40,-151.37,16.86,-29.5,2039744.6,161837.52,2201582.12,6.8672,2201582.12,-0.015137000000000001,2201534.123995569,-2201534.123995569,"(1741901.952, 2209304.488]"
41,43.02,-12.53,3.81,-579655.72,13069.77,-566585.95,-1.7673,566585.95,0.004302,-566621.0608813626,566621.0608813626,"(-595110.726, -127708.19]"
42,13.75,-44.34,37.5,-185268.9,1335.16,-183933.74,-0.5737,183933.74,0.001375,-183945.27207690556,183945.27207690556,"(-595110.726, -127708.19]"
43,69.36,41.4,36.4,-934637.82,33979.29,-900658.52,-2.8093,900658.52,0.006936,-900644.5927518526,900644.5927518526,"(-1062513.261, -595110.726]"
44,-9.49,30.2,-3.44,127821.23,635.53,128456.76,0.4007,128456.76,-0.000949,128513.38050438887,-128513.38050438887,"(-127708.19, 339694.345]"
45,-55.65,77.77,11.57,749847.58,21871.25,771718.83,2.4072,771718.83,-0.005565,771754.2489373754,-771754.2489373754,"(339694.345, 807096.881]"
46,35.6,-26.19,-43.01,-479660.87,8949.45,-470711.43,-1.4683,470711.43,0.0035600000000000002,-470757.1106485474,470757.1106485474,"(-595110.726, -127708.19]"
47,-24.23,32.11,31.33,326511.15,4146.9,330658.05,1.0314,330658.05,-0.0024230000000000002,330644.65469967143,-330644.65469967143,"(-127708.19, 339694.345]"
48,-12.45,1.99,-14.55,167812.72,1095.41,168908.13,0.5269,168908.13,-0.001245,168857.9190232657,-168857.9190232657,"(-127708.19, 339694.345]"
49,114.28,6.78,-18.01,-1539853.02,92232.97,-1447620.06,-4.5154,1447620.06,0.011428,-1447677.1023687625,1447677.1023687625,"(-1529915.797, -1062513.261]"
50,27.68,71.87,9.01,-373023.77,5412.53,-367611.23,-1.1467,367611.23,0.002768,-367575.2381109529,367575.2381109529,"(-595110.726, -127708.19]"
51,-93.79,-31.09,7.49,1263816.02,62129.14,1325945.16,4.1359,1325945.16,-0.009379,1325944.7383289319,-1325944.7383289319,"(1274499.417, 1741901.952]"
52,-16.17,-2.29,4.09,217903.48,1846.95,219750.43,0.6854,219750.43,-0.0016170000000000002,219736.69980354156,-219736.69980354156,"(-127708.19, 339694.345]"
53,42.25,14.65,-32.04,-569263.03,12605.31,-556657.72,-1.7363,556657.72,0.004225,-556709.0805085578,556709.0805085578,"(-595110.726, -127708.19]"
54,-79.44,23.02,42.52,1070466.04,44573.16,1115039.2,3.478,1115039.2,-0.007944,1115021.9423684382,-1115021.9423684382,"(807096.881, 1274499.417]"
55,55.15,5.13,-0.58,-743076.87,21478.06,-721598.81,-2.2508,721598.81,0.005515,-721661.7574024339,721661.7574024339,"(-1062513.261, -595110.726]"
56,-80.58,-40.86,-13.43,1085851.94,45863.68,1131715.61,3.5301,1131715.61,-0.008058,1131671.8158974806,-1131671.8158974806,"(807096.881, 1274499.417]"
57,106.91,-68.79,-26.98,-1440545.5,80720.08,-1359825.42,-4.2416,1359825.42,0.010690999999999999,-1359880.3779530942,1359880.3779530942,"(-1529915.797, -1062513.261]"
58,-77.27,84.13,23.11,1041173.38,42167.1,1083340.48,3.3792,1083340.48,-0.0077269999999999995,1083379.4925030107,-1083379.4925030107,"(807096.881, 1274499.417]"
59,10.2,-61.13,-16.51,-137407.5,734.43,-136673.07,-0.4263,136673.07,0.0010199999999999999,-136709.69366908708,136709.69366908708,"(-595110.726, -127708.19]"
60,-252.2,39.52,44.3,3398367.25,449229.48,3847596.74,12.0015,3847596.74,-0.02522,3847615.460704017,-3847615.460704017,"(3611512.095, 4078914.63]"
61,160.7,2.19,60.0,-2165489.4,182406.27,-1983083.13,-6.1857,1983083.13,0.016069999999999997,-1983029.931235011,1983029.931235011,"(-1997318.332, -1529915.797]"
62,-103.12,33.72,-27.38,1389583.1,75109.81,1464692.91,4.5687,1464692.91,-0.010312,1464641.7319279774,-1464641.7319279774,"(1274499.417, 1741901.952]"
63,-20.49,-30.31,-6.61,276045.91,2964.08,279010.0,0.8703,279010.0,-0.002049,279067.04866546154,-279067.04866546154,"(-127708.19, 339694.345]"
64,-42.26,71.61,-72.92,569389.57,12610.92,582000.49,1.8154,582000.49,-0.004226,582065.11384025,-582065.11384025,"(339694.345, 807096.881]"
65,-106.76,27.58,-42.46,1438598.07,80501.98,1519100.06,4.7384,1519100.06,-0.010676,1519086.3284041446,-1519086.3284041446,"(1274499.417, 1741901.952]"
66,92.88,-22.01,30.9,-1251506.02,60924.72,-1190581.3,-3.7137,1190581.3,0.009288,-1190624.389148119,1190624.389148119,"(-1529915.797, -1062513.261]"
67,-116.13,-7.23,-15.92,1564890.79,95256.74,1660147.52,5.1784,1660147.52,-0.011613,1660097.2819252308,-1660097.2819252308,"(1274499.417, 1741901.952]"
68,63.13,-3.61,-12.24,-850655.96,28147.22,-822508.74,-2.5656,822508.74,0.006313,-822525.4188435355,822525.4188435355,"(-1062513.261, -595110.726]"
69,-98.49,1.95,-47.19,1327156.54,68512.83,1395669.38,4.3534,1395669.38,-0.009849,1395659.839645635,-1395659.839645635,"(1274499.417, 1741901.952]"
70,43.62,-36.95,-53.1,-587836.59,13441.29,-574395.31,-1.7917,574395.31,0.0043619999999999996,-574338.8762751132,574338.8762751132,"(-595110.726, -127708.19]"
71,15.45,50.55,31.57,-208122.75,1684.87,-206437.88,-0.6439,206437.88,0.001545,-206502.09044541634,206502.09044541634,"(-595110.726, -127708.19]"
72,-9.97,65.96,-49.86,134365.38,702.27,135067.65,0.4213,135067.65,-0.000997,135047.33046619096,-135047.33046619096,"(-127708.19, 339694.345]"
73,76.54,-111.92,-3.24,-1031361.88,41376.12,-989985.76,-3.088,989985.76,0.007654,-989995.9606507992,989995.9606507992,"(-1062513.261, -595110.726]"
74,11.87,-34.25,-39.81,-159942.38,995.07,-158947.31,-0.4958,158947.31,0.001187,-158952.54879039826,158952.54879039826,"(-595110.726, -127708.19]"
75,-96.73,36.85,-6.73,1303487.14,66090.82,1369577.96,4.272,1369577.96,-0.009673000000000001,1369517.2130580146,-1369517.2130580146,"(1274499.417, 1741901.952]"
76,-45.11,-60.83,28.38,607879.98,14373.53,622253.51,1.9409,622253.51,-0.004511,622227.4135713071,-622227.4135713071,"(339694.345, 807096.881]"
77,162.84,-11.55,14.23,-2194319.4,187295.49,-2007023.91,-6.2603,2007023.91,0.016284,-2006976.173143621,2006976.173143621,"(-2464720.868, -1997318.332]"
78,-38.03,-21.83,15.1,512483.23,10216.14,522699.37,1.6304,522699.37,-0.003803,522667.32735868625,-522667.32735868625,"(339694.345, 807096.881]"
79,59.27,91.72,-18.01,-798617.72,24808.79,-773808.93,-2.4137,773808.93,0.005927,-773849.0526500935,773849.0526500935,"(-1062513.261, -595110.726]"
80,41.2,-52.34,16.07,-555121.46,11986.81,-543134.65,-1.6942,543134.65,0.00412,-543179.2464993568,543179.2464993568,"(-595110.726, -127708.19]"
81,15.84,-84.85,-41.93,-213494.15,1772.96,-211721.18,-0.6604,211721.18,0.001584,-211671.13301129537,211671.13301129537,"(-595110.726, -127708.19]"
82,-93.27,37.71,-68.2,1256793.29,61440.58,1318233.87,4.1119,1318233.87,-0.009327,1318250.7496271057,-1318250.7496271057,"(1274499.417, 1741901.952]"
83,-91.66,58.25,84.51,1235089.48,59336.85,1294426.33,4.0376,1294426.33,-0.009165999999999999,1294453.1976025377,-1294453.1976025377,"(1274499.417, 1741901.952]"
84,-91.26,-28.16,-1.21,1229665.3,58816.81,1288482.11,4.0191,1288482.11,-0.009126,1288546.4408613082,-1288546.4408613082,"(1274499.417, 1741901.952]"
85,-48.99,7.18,-21.69,660191.59,16953.82,677145.41,2.1122,677145.41,-0.004899000000000001,677088.9377313246,-677088.9377313246,"(339694.345, 807096.881]"
86,4.85,11.49,-2.61,-65329.23,166.01,-65163.22,-0.2033,65163.22,0.00048499999999999997,-65187.38276771625,65187.38276771625,"(-127708.19, 339694.345]"
87,-14.43,-93.9,-6.99,194386.98,1469.81,195856.79,0.6109,195856.79,-0.001443,195914.22741988863,-195914.22741988863,"(-127708.19, 339694.345]"
88,0.27,29.35,36.88,-3677.08,0.53,-3676.55,-0.0115,3676.55,2.7000000000000002e-05,-3637.722259296803,3637.722259296803,"(-127708.19, 339694.345]"
89,-39.48,37.59,-36.24,532021.66,11009.97,543031.64,1.6938,543031.64,-0.003948,542999.8003018384,-542999.8003018384,"(339694.345, 807096.881]"
90,-118.16,-32.11,-30.82,1592169.33,98606.64,1690775.97,5.2739,1690775.97,-0.011816,1690810.5958372534,-1690810.5958372534,"(1274499.417, 1741901.952]"
91,-111.88,2.75,-9.52,1507618.6,88411.88,1596030.47,4.9784,1596030.47,-0.011188,1595984.5168539998,-1595984.5168539998,"(1274499.417, 1741901.952]"
92,113.01,-62.5,-1.13,-1522866.65,90209.31,-1432657.34,-4.4688,1432657.34,0.011301,-1432602.6677810976,1432602.6677810976,"(-1529915.797, -1062513.261]"
93,45.53,-58.05,50.66,-613546.81,14642.76,-598904.04,-1.8681,598904.04,0.004553,-598873.3951919884,598873.3951919884,"(-1062513.261, -595110.726]"
94,18.83,102.81,-3.6,-253703.08,2503.68,-251199.4,-0.7835,251199.4,0.001883,-251229.08061191253,251229.08061191253,"(-595110.726, -127708.19]"
95,80.13,37.22,19.53,-1079756.53,45350.21,-1034406.32,-3.2265,1034406.32,0.008013,-1034398.5638249578,1034398.5638249578,"(-1062513.261, -595110.726]"
96,-86.3,30.4,4.2,1162907.8,52603.93,1215511.73,3.7914,1215511.73,-0.00863,1215490.4278041206,-1215490.4278041206,"(807096.881, 1274499.417]"
97,-93.7,-73.22,13.45,1262606.56,62010.28,1324616.84,4.1318,1324616.84,-0.00937,1324612.8131053115,-1324612.8131053115,"(1274499.417, 1741901.952]"
98,-39.69,-39.24,10.96,534766.45,11123.87,545890.32,1.7027,545890.32,-0.0039689999999999994,545946.9653949486,-545946.9653949486,"(339694.345, 807096.881]"
99,-130.31,54.54,-31.63,1755957.03,119937.61,1875894.65,5.8513,1875894.65,-0.013031000000000001,1875853.42798953,-1875853.42798953,"(1741901.952, 2209304.488]"
100,-48.69,-58.74,-12.38,656137.35,16746.23,672883.58,2.0989,672883.58,-0.004869,672839.481788346,-672839.481788346,"(339694.345, 807096.881]"
101,-126.24,12.11,5.64,1701013.32,112549.37,1813562.68,5.6569,1813562.68,-0.012624,1813635.6200934504,-1813635.6200934504,"(1741901.952, 2209304.488]"
102,28.17,-5.62,39.98,-379550.3,5603.59,-373946.71,-1.1664,373946.71,0.002817,-373984.6788502637,373984.6788502637,"(-595110.726, -127708.19]"
103,-108.08,52.17,2.54,1456409.41,82507.72,1538917.13,4.8002,1538917.13,-0.010808,1538876.2152773123,-1538876.2152773123,"(1274499.417, 1741901.952]"
104,-81.38,61.9,15.09,1096558.45,46772.57,1143331.01,3.5663,1143331.01,-0.008138,1143366.8992404973,-1143366.8992404973,"(807096.881, 1274499.417]"
105,66.18,34.45,14.52,-891812.83,30936.78,-860876.05,-2.6853,860876.05,0.006618000000000001,-860838.4609755493,860838.4609755493,"(-1062513.261, -595110.726]"
106,-123.27,6.68,-41.84,1661112.68,107331.16,1768443.84,5.5162,1768443.84,-0.012327,1768381.1120086259,-1768381.1120086259,"(1741901.952, 2209304.488]"
107,-77.33,36.05,30.87,1042012.34,42235.08,1084247.42,3.382,1084247.42,-0.007732999999999999,1084253.5047920493,-1084253.5047920493,"(807096.881, 1274499.417]"
108,-5.21,35.09,7.8,70239.96,191.91,70431.87,0.2197,70431.87,-0.000521,70396.2170376267,-70396.2170376267,"(-127708.19, 339694.345]"
109,8.34,43.05,39.42,-112446.03,491.83,-111954.2,-0.3492,111954.2,0.000834,-111889.84094591212,111889.84094591212,"(-127708.19, 339694.345]"
110,77.64,16.76,-10.85,-1046256.72,42579.85,-1003676.87,-3.1307,1003676.87,0.007764,-1003620.5602956355,1003620.5602956355,"(-1062513.261, -595110.726]"
111,60.06,54.44,42.73,-809240.14,25473.14,-783767.0,-2.4447,783767.0,0.006006,-783828.4436941675,783828.4436941675,"(-1062513.261, -595110.726]"
112,34.08,-53.14,16.89,-459182.91,8201.61,-450981.3,-1.4067,450981.3,0.003408,-451023.23661223764,451023.23661223764,"(-595110.726, -127708.19]"
113,-17.86,4.83,-6.25,240722.1,2254.03,242976.13,0.7579,242976.13,-0.001786,242915.55969922294,-242915.55969922294,"(-127708.19, 339694.345]"
114,4.01,-26.38,35.64,-54076.62,113.75,-53962.87,-0.1683,53962.87,0.000401,-53920.9874446049,53920.9874446049,"(-127708.19, 339694.345]"
115,-19.93,20.37,-45.85,268578.31,2805.88,271384.2,0.8465,271384.2,-0.001993,271361.2059457488,-271361.2059457488,"(-127708.19, 339694.345]"
116,11.2,16.03,33.82,-150892.92,885.66,-150007.26,-0.4679,150007.26,0.00112,-150033.500712342,150033.500712342,"(-595110.726, -127708.19]"
117,55.88,-68.73,12.66,-753004.75,22055.81,-730948.94,-2.28,730948.94,0.005588,-730926.013918726,730926.013918726,"(-1062513.261, -595110.726]"
118,73.06,32.95,-3.84,-984533.23,37704.08,-946829.14,-2.9534,946829.14,0.007306,-946780.1109887148,946780.1109887148,"(-1062513.261, -595110.726]"
119,-178.2,-101.64,52.04,2401276.02,224290.97,2625566.99,8.1897,2625566.99,-0.01782,2625519.5232557342,-2625519.5232557342,"(2209304.488, 2676707.023]"
120,88.83,8.78,22.95,-1197037.49,55736.94,-1141300.55,-3.56,1141300.55,0.008883,-1141248.5753103977,1141248.5753103977,"(-1529915.797, -1062513.261]"
121,-38.25,62.41,14.13,515371.76,10331.63,525703.39,1.6398,525703.39,-0.003825,525750.3430764144,-525750.3430764144,"(339694.345, 807096.881]"
122,-131.82,76.76,-12.46,1776273.41,122729.02,1899002.43,5.9234,1899002.43,-0.013182,1898996.2036244222,-1898996.2036244222,"(1741901.952, 2209304.488]"
123,-118.04,-31.58,-5.67,1590613.6,98414.03,1689027.63,5.2684,1689027.63,-0.011804,1688993.4116739288,-1688993.4116739288,"(1274499.417, 1741901.952]"
124,127.89,-51.77,-6.14,-1723337.68,115522.98,-1607814.7,-5.0151,1607814.7,0.012789,-1607792.4657113873,1607792.4657113873,"(-1997318.332, -1529915.797]"
125,-22.93,16.35,15.89,308952.79,3712.89,312665.68,0.9753,312665.68,-0.002293,312694.2064100725,-312694.2064100725,"(-127708.19, 339694.345]"
126,-106.03,-22.76,42.12,1428806.44,79409.86,1508216.3,4.7045,1508216.3,-0.010603,1508152.4908489205,-1508152.4908489205,"(1274499.417, 1741901.952]"
127,-40.1,47.68,-0.29,540287.15,11354.73,551641.89,1.7207,551641.89,-0.0040100000000000005,551702.7497668323,-551702.7497668323,"(339694.345, 807096.881]"
128,120.36,-29.79,-33.29,-1621841.72,102316.24,-1519525.48,-4.7397,1519525.48,0.012036,-1519528.8488909316,1519528.8488909316,"(-1529915.797, -1062513.261]"
129,103.03,-47.83,-19.18,-1388390.06,74980.9,-1313409.17,-4.0968,1313409.17,0.010303,-1313350.741819904,1313350.741819904,"(-1529915.797, -1062513.261]"
130,-6.54,-73.52,0.22,88114.23,302.01,88416.24,0.2758,88416.24,-0.000654,88428.27864185581,-88428.27864185581,"(-127708.19, 339694.345]"
131,105.65,-105.46,-4.81,-1423612.44,78833.57,-1344778.88,-4.1947,1344778.88,0.010565,-1344793.5543177715,1344793.5543177715,"(-1529915.797, -1062513.261]"
132,141.64,35.42,-54.74,-1908560.88,141690.15,-1766870.73,-5.5113,1766870.73,0.014163999999999998,-1766897.8141439282,1766897.8141439282,"(-1997318.332, -1529915.797]"
133,194.68,-64.52,-1.54,-2623358.88,267696.72,-2355662.16,-7.3478,2355662.16,0.019468,-2355618.9665433327,2355618.9665433327,"(-2464720.868, -1997318.332]"
134,-34.76,17.0,31.83,468440.46,8535.65,476976.11,1.4878,476976.11,-0.003476,476923.10637425317,-476923.10637425317,"(339694.345, 807096.881]"
135,10.01,82.68,5.64,-134928.39,708.16,-134220.22,-0.4187,134220.22,0.001001,-134176.5734168343,134176.5734168343,"(-595110.726, -127708.19]"
136,-191.89,-83.83,31.8,2585676.53,260061.47,2845738.0,8.8765,2845738.0,-0.019188999999999998,2845775.859338274,-2845775.859338274,"(2676707.023, 3144109.559]"
137,120.24,-37.55,13.41,-1620224.19,102112.25,-1518111.94,-4.7353,1518111.94,0.012024,-1518115.7736767,1518115.7736767,"(-1529915.797, -1062513.261]"
138,-64.91,-6.82,17.27,874642.53,29756.98,904399.5,2.821,904399.5,-0.006490999999999999,904417.1900177187,-904417.1900177187,"(807096.881, 1274499.417]"
139,-28.36,-33.85,1.24,382183.79,5681.62,387865.41,1.2098,387865.41,-0.002836,387830.2392417918,-387830.2392417918,"(339694.345, 807096.881]"
140,56.86,87.95,9.28,-766120.69,22830.85,-743289.84,-2.3185,743289.84,0.005686,-743351.125071711,743351.125071711,"(-1062513.261, -595110.726]"
141,-42.8,53.51,31.37,576682.62,12936.04,589618.67,1.8391,589618.67,-0.00428,589666.0025174372,-589666.0025174372,"(339694.345, 807096.881]"
142,-5.73,27.86,-11.26,77151.49,231.53,77383.02,0.2414,77383.02,-0.000573,77443.37150743025,-77443.37150743025,"(-127708.19, 339694.345]"
143,-3.46,12.04,5.97,46608.37,84.5,46692.87,0.1456,46692.87,-0.000346,46707.889038453905,-46707.889038453905,"(-127708.19, 339694.345]"
144,-78.18,-68.27,-13.51,1053484.55,43170.19,1096654.74,3.4207,1096654.74,-0.007818,1096640.8086803895,-1096640.8086803895,"(807096.881, 1274499.417]"
145,154.51,21.0,2.04,-2082029.07,168616.94,-1913412.13,-5.9683,1913412.13,0.015451,-1913400.686574783,1913400.686574783,"(-1997318.332, -1529915.797]"
146,-33.05,34.54,-15.77,445342.24,7714.64,453056.87,1.4132,453056.87,-0.0033049999999999998,453061.96245713864,-453061.96245713864,"(339694.345, 807096.881]"
147,-10.76,17.31,61.4,145022.92,818.09,145841.01,0.4549,145841.01,-0.001076,145808.20928525564,-145808.20928525564,"(-127708.19, 339694.345]"
148,-59.34,-49.21,-55.07,799637.37,24872.18,824509.55,2.5718,824509.55,-0.005934,824473.6898415802,-824473.6898415802,"(807096.881, 1274499.417]"
149,-152.61,57.75,12.12,2056403.37,164491.8,2220895.17,6.9275,2220895.17,-0.015261000000000002,2220905.3078063386,-2220905.3078063386,"(2209304.488, 2676707.023]"
150,-61.27,-53.13,-15.24,825601.12,26513.57,852114.69,2.6579,852114.69,-0.0061270000000000005,852124.4228428348,-852124.4228428348,"(807096.881, 1274499.417]"
151,107.29,50.78,-45.35,-1445666.91,81295.05,-1364371.86,-4.2558,1364371.86,0.010729,-1364425.970804616,1364425.970804616,"(-1529915.797, -1062513.261]"
152,-83.62,-57.83,-5.55,1126817.73,49389.54,1176207.27,3.6688,1176207.27,-0.008362,1176161.2278942137,-1176161.2278942137,"(807096.881, 1274499.417]"
153,114.16,36.35,3.78,-1538271.23,92043.57,-1446227.66,-4.5111,1446227.66,0.011415999999999999,-1446253.7210202583,1446253.7210202583,"(-1529915.797, -1062513.261]"
154,-85.8,40.43,-42.63,1156166.06,51995.78,1208161.84,3.7685,1208161.84,-0.008579999999999999,1208145.191983403,-1208145.191983403,"(807096.881, 1274499.417]"
155,56.74,-77.51,19.33,-764518.46,22735.45,-741783.01,-2.3138,741783.01,0.005674,-741830.4117774987,741830.4117774987,"(-1062513.261, -595110.726]"
156,-27.65,27.18,12.95,372577.72,5399.6,377977.31,1.179,377977.31,-0.0027649999999999997,377982.15334884793,-377982.15334884793,"(339694.345, 807096.881]"
157,-15.74,50.62,6.63,212097.17,1749.84,213847.0,0.667,213847.0,-0.001574,213845.55857554422,-213845.55857554422,"(-127708.19, 339694.345]"
158,-25.74,-75.84,-9.71,346877.91,4680.38,351558.28,1.0966,351558.28,-0.002574,351524.7592372183,-351524.7592372183,"(339694.345, 807096.881]"
159,95.29,40.93,-22.28,-1284028.92,64132.36,-1219896.56,-3.8051,1219896.56,0.009529000000000001,-1219896.087333512,1219896.087333512,"(-1529915.797, -1062513.261]"
160,11.83,-15.18,51.75,-159454.96,989.02,-158465.95,-0.4943,158465.95,0.001183,-158420.246292353,158420.246292353,"(-595110.726, -127708.19]"
161,69.65,44.85,-17.36,-938542.3,34263.78,-904278.52,-2.8206,904278.52,0.006965000000000001,-904267.6043252302,904267.6043252302,"(-1062513.261, -595110.726]"
162,63.4,-66.31,-51.56,-854343.52,28391.78,-825951.73,-2.5763,825951.73,0.00634,-825922.3665835306,825922.3665835306,"(-1062513.261, -595110.726]"
163,160.1,17.79,3.04,-2157375.95,181041.98,-1976333.97,-6.1646,1976333.97,0.01601,-1976304.4202825318,1976304.4202825318,"(-1997318.332, -1529915.797]"
164,-31.96,64.8,-22.19,430662.03,7214.41,437876.44,1.3658,437876.44,-0.003196,437873.7833131054,-437873.7833131054,"(339694.345, 807096.881]"
