coupon_rate,maturity,yield_rate,duration,convexity,price
0.0649,13.87,0.0728,8.705,100.8387,93.2813
0.0549,2.8966,0.0719,2.2848,6.4947,96.1725
0.0626,8.9473,0.0712,6.4305,51.1685,94.5856
0.0665,2.152,0.0735,1.8373,4.3575,98.7197
0.0649,7.4935,0.0746,5.4896,36.8728,94.7843
0.0595,28.8597,0.0746,12.2225,240.0864,82.2688
0.0645,1.7741,0.0669,1.4065,2.6931,99.6628
0.0799,10.0534,0.0738,6.8835,61.3486,104.2612
0.0691,3.5181,0.079,3.042,11.3024,97.0235
0.0659,1.6345,0.0755,1.3995,2.6678,98.6622
0.08,1.6701,0.074,1.3918,2.6494,100.8373
0.0779,5.4593,0.0701,4.1058,20.5911,103.2427
0.0661,4.1287,0.0702,3.4548,14.4461,98.5914
0.0662,5.0568,0.0779,4.1559,20.8995,95.2302
0.0775,6.5626,0.0735,5.0559,31.5799,102.038
0.0704,3.4059,0.0799,2.6469,8.6482,97.5096
0.0708,2.5161,0.075,2.2495,6.3532,99.0585
0.0702,3.6057,0.0717,3.053,11.3822,99.5429
0.0765,9.1828,0.0707,6.4862,53.3654,103.8139
0.0703,4.9993,0.0711,3.7988,17.4969,99.6965
0.0727,7.7098,0.0709,5.7179,40.5352,101.0333
0.0817,12.5476,0.0779,7.8232,82.7369,103.0014
0.0663,3.0034,0.0745,2.6671,8.7523,97.8313
0.0809,3.77,0.0794,2.9991,11.0827,100.4507
0.0762,1.7741,0.0734,1.3945,2.6569,100.391
0.0759,3.6003,0.078,3.0195,11.1909,99.3674
0.0775,0.6735,0.0713,0.4828,0.4662,100.2993
0.0721,1.2457,0.0793,0.945,1.3555,99.3207
0.0749,2.3984,0.0749,1.8259,4.3191,100.0
0.0746,3.6277,0.0707,3.0393,11.3152,101.1908
0.0718,2.4093,0.0714,1.8331,4.3466,100.0733
0.0791,5.5989,0.0756,4.4064,23.8472,101.5514
0.0749,2.4038,0.0772,1.8236,4.3088,99.5812
0.072,5.9357,0.0747,4.4645,24.2943,98.8003
0.0743,3.2361,0.0772,2.6408,8.6278,99.2364
0.0732,1.1636,0.078,0.9454,1.3567,99.5467
0.0686,7.7837,0.0756,5.7331,40.6528,96.048
0.0701,0.7009,0.0771,0.4814,0.4636,99.663
0.0899,1.9849,0.0774,1.3835,2.6251,101.7387
0.0766,3.3128,0.0843,2.6228,8.5303,97.9958
0.0765,4.4709,0.08,3.3819,13.9893,98.8218
0.0838,3.6605,0.0779,2.9924,11.0531,101.7775
0.0716,2.3765,0.0821,1.8228,4.2995,98.099
0.0783,0.9418,0.0837,0.4799,0.4606,99.7408
0.0775,4.3587,0.0869,3.3598,13.837,96.8802
0.075,5.5661,0.0775,4.4289,24.0074,98.8975
0.0743,1.3607,0.0879,0.9407,1.3433,98.7247
0.0825,3.6085,0.0756,3.0016,11.1073,102.0876
0.0883,5.7823,0.0804,4.3194,23.1603,103.4567
0.0738,7.5428,0.0777,5.651,39.8104,97.8144
0.0807,4.6489,0.0797,3.7149,16.9243,100.372
0.0766,3.5099,0.0782,3.0166,11.1755,99.5182
0.0898,0.9774,0.0859,0.4794,0.4597,100.187
0.0883,8.3696,0.0819,5.7102,41.7331,103.7027
0.0753,6.9432,0.0875,4.9932,30.9369,94.0481
0.0717,2.9843,0.0793,2.2423,6.3171,98.3066
0.0729,0.9993,0.0789,0.481,0.4628,99.7114
0.0821,0.7173,0.0792,0.481,0.4626,100.1395
0.0776,1.2813,0.0791,0.944,1.3534,99.8585
0.082,1.3169,0.0752,0.9449,1.3568,100.6435
0.0733,3.3922,0.0813,2.6367,8.5992,97.9076
0.0786,2.5982,0.0828,2.2249,6.2438,99.0688
0.074,7.8768,0.085,5.5909,39.157,93.9904
0.079,3.8412,0.0819,3.0005,11.0819,99.1327
0.072,2.4559,0.0817,1.8226,4.2997,98.243
0.0791,2.4148,0.0795,1.8165,4.2829,99.9274
0.0766,0.7912,0.078,0.4812,0.4632,99.9326
0.0815,7.8138,0.0792,5.5485,38.7699,101.2822
0.0884,1.1554,0.0791,0.9417,1.349,100.8776
0.0868,0.6352,0.0874,0.4791,0.459,99.9713
0.0707,2.3491,0.0772,1.8286,4.3248,98.8164
0.0847,3.3073,0.088,2.5956,8.4001,99.1462
0.0861,3.3046,0.0828,2.6007,8.4355,100.861
0.0728,2.36,0.0799,1.8235,4.3047,98.7112
0.078,1.7276,0.0814,1.3878,2.6329,99.5289
0.0898,6.0808,0.084,4.5926,26.3858,102.6904
0.0831,2.4969,0.0812,1.8102,4.2606,100.3444
0.0876,2.3518,0.0856,1.8007,4.2248,100.3606
0.0879,1.243,0.0827,0.9401,1.3445,100.4894
0.0821,1.5086,0.0788,1.3871,2.6334,100.4584
0.0773,1.2129,0.0874,0.9402,1.3427,99.0525
0.0717,1.4784,0.0776,0.9459,1.3579,99.4426
0.0711,3.1403,0.0842,2.6379,8.5973,96.5898
0.0842,1.5086,0.0816,1.3838,2.6228,100.3602
0.0777,2.9624,0.0875,2.2205,6.2182,97.8414
0.0745,0.668,0.0874,0.4791,0.459,99.382
0.0774,0.5175,0.0851,0.4796,0.46,99.6307
0.0997,2.5325,0.0859,2.1836,6.0808,103.0465
0.0852,0.7228,0.0909,0.4783,0.4575,99.7274
0.0872,1.5962,0.092,1.3748,2.5911,99.3415
0.0971,1.7604,0.0887,1.3712,2.5847,101.156
0.098,1.2621,0.0864,0.9363,1.3356,101.0889
0.0923,4.2683,0.0894,3.29,13.4312,100.9576
0.0983,3.8905,0.0891,2.9216,10.6598,102.7151
0.0963,6.1629,0.0999,4.4591,25.2162,98.4042
0.099,2.3299,0.0876,1.7862,4.1759,102.0506
0.0992,1.3881,0.0949,0.9322,1.3242,100.4012
0.0947,3.1184,0.0959,2.5575,8.2122,99.6935
0.0869,2.9952,0.0983,2.1898,6.0818,97.5264
0.0994,2.527,0.0907,2.1778,6.0502,101.9078
0.0946,0.7912,0.0997,0.4763,0.4536,99.7571
0.0853,2.6064,0.0864,2.208,6.1728,99.7573
0.0895,1.191,0.091,0.936,1.3331,99.8596
0.0812,2.4942,0.0863,1.8074,4.245,99.0812
0.09,1.4976,0.0952,0.9339,1.3275,99.5149
0.0911,3.8686,0.0891,2.9446,10.7763,100.5902
0.0973,0.8679,0.089,0.4787,0.4583,100.3973
0.0804,2.5681,0.0976,2.2025,6.1313,96.2643
0.0973,0.9856,0.0874,0.4791,0.459,100.4743
0.0965,3.5154,0.0988,2.9068,10.5568,99.3331
0.0971,5.1472,0.0881,3.9227,19.2284,103.5774
0.097,3.4908,0.092,2.5584,8.2256,101.2853
0.083,0.7009,0.0971,0.4768,0.4548,99.3276
0.0937,1.7906,0.0986,1.3662,2.5643,99.3319
0.0949,2.2396,0.0983,1.7802,4.1435,99.396
0.0998,2.2724,0.0935,1.7795,4.1474,101.1255
0.0898,1.3717,0.0915,0.9357,1.3323,99.841
0.0821,2.5572,0.0875,2.2124,6.1874,98.8106
0.0945,2.078,0.0853,1.7934,4.2017,101.6594
0.0895,2.089,0.0953,1.7891,4.1755,98.966
0.0956,0.6352,0.0904,0.4784,0.4577,100.2488
0.0945,0.5969,0.0947,0.4774,0.4558,99.9905
0.0979,4.1561,0.096,3.2504,13.1829,100.619
0.0897,2.1081,0.0877,1.7963,4.2081,100.3597
0.0945,0.5448,0.095,0.4773,0.4557,99.9761
0.0974,0.7502,0.0898,0.4785,0.458,100.3637
0.0911,0.6762,0.0969,0.4769,0.4549,99.7234
0.0929,2.4942,0.1039,1.777,4.1263,98.0585
0.1147,1.0678,0.0977,0.9278,1.3146,101.5831
0.0952,2.2916,0.1114,1.7672,4.0862,97.1654
0.1114,2.0972,0.1106,1.7505,4.0348,100.1401
0.1142,1.4757,0.0986,0.9275,1.3136,101.4518
0.1123,3.5483,0.1146,2.8249,10.1028,99.3518
0.1133,1.911,0.0994,1.3545,2.5338,101.8937
0.0912,1.7084,0.1143,1.3569,2.5283,96.8963
0.0966,1.1745,0.1033,0.9289,1.3145,99.3786
0.1062,3.4251,0.1079,2.51,7.9758,99.574
0.1151,1.4237,0.1126,0.921,1.2956,100.2304
0.1146,2.2779,0.1063,1.7514,4.0426,101.4609
0.0984,2.9733,0.1156,2.1474,5.8915,96.3556
0.1018,1.1964,0.1137,0.9232,1.2994,98.9043
0.0922,1.2485,0.0999,0.9314,1.3206,99.2841
0.107,1.0787,0.119,0.9198,1.2908,98.8992
0.1094,0.6598,0.1165,0.4725,0.4465,99.6645
0.1096,1.7687,0.1006,1.3557,2.536,101.2248
0.097,2.3901,0.0961,1.7801,4.1457,100.1603
0.1076,0.9829,0.1044,0.4752,0.4516,100.1521
0.0263,5.5524,0.044,5.0264,28.8363,91.4364
0.0213,10.9049,0.0393,9.1693,95.1046,84.6358
0.0265,6.1027,0.0467,5.4305,33.6114,89.5354
0.0221,8.4846,0.0391,7.1859,58.1545,88.4177
0.0426,2.0534,0.0393,1.9011,4.6123,100.6288
0.0377,11.3292,0.0464,8.8099,92.2834,92.5706
0.0373,2.4203,0.0418,1.9057,4.6233,99.1451
0.0384,16.7255,0.04,12.083,180.8645,98.0809
0.0424,4.1424,0.0475,3.6317,15.5693,98.1618
0.0331,2.7105,0.0417,2.3695,6.8864,97.9782
0.0455,18.976,0.0399,12.6714,205.8172,107.2774
0.0306,8.2245,0.04,6.9817,55.8955,93.6185
0.0336,6.0233,0.0406,5.3627,33.1006,96.3054
0.0345,2.4394,0.0476,1.9037,4.6083,97.5288
0.0355,0.7995,0.0406,0.4901,0.4803,99.7501
0.0484,9.0075,0.0399,7.3134,63.6697,106.3744
0.0403,15.3484,0.0381,11.238,154.7751,102.4961
0.0319,17.128,0.0385,12.8097,199.9431,91.8219
0.0204,4.8433,0.039,4.231,20.4582,92.391
0.0326,20.0903,0.0465,13.8909,245.6773,82.028
0.0442,3.9699,0.0393,3.2197,12.3571,101.5878
0.0265,5.2101,0.0443,4.599,24.237,92.0947
0.0373,12.0794,0.0397,9.5616,108.8137,97.7265
0.0389,13.6235,0.0471,10.2384,127.833,91.8767
0.0324,1.3744,0.0393,0.9729,1.4274,99.3298
0.0431,6.4038,0.0388,5.2574,32.2294,102.2821
0.0211,2.1766,0.0413,1.9284,4.6981,96.1603
0.0357,13.7522,0.0471,10.3843,130.4334,88.7066
0.0303,8.7365,0.0449,7.3275,61.7628,89.7775
0.0331,7.1896,0.0454,6.1329,43.3119,92.6942
0.0399,5.6783,0.0409,4.8909,27.809,99.5119
0.0194,17.1335,0.0401,13.798,221.9747,74.6633
0.0193,12.564,0.0438,10.6879,129.9414,76.6088
0.0282,4.1889,0.0455,3.7184,16.0844,93.7379
0.0441,3.436,0.0426,2.7839,9.3673,100.4183
0.0155,1.4428,0.0427,0.9753,1.4305,97.3647
0.0107,8.8378,0.0411,7.925,68.7611,78.3759
0.0404,7.2361,0.0444,6.0206,42.2382,97.6158
0.0372,5.9329,0.0405,4.92,28.0383,98.3875
0.0331,0.8296,0.041,0.49,0.4801,99.6129
0.0228,10.0862,0.0401,8.723,86.2984,85.8628
0.0114,0.9966,0.0406,0.4901,0.4803,98.569
0.0245,1.4346,0.0446,0.9722,1.4236,98.0553
0.0427,24.9144,0.0479,14.6833,296.0746,92.5482
0.0437,1.5825,0.04,1.4394,2.8022,100.5335
0.0189,17.2457,0.0253,14.297,233.6598,91.2019
0.0248,3.5702,0.0313,3.3203,12.9138,97.861
0.0267,2.5188,0.0309,2.3976,7.0203,98.997
0.0088,11.885,0.0278,10.737,124.801,81.4079
0.0236,12.7036,0.0256,10.7385,131.3032,97.8721
0.0112,2.6995,0.028,2.4375,7.1841,95.9708
0.0297,8.5832,0.0306,7.4562,63.4904,99.3309
0.0053,11.8303,0.0271,10.9674,128.4231,78.5838
0.0196,14.8528,0.0268,12.4207,175.0771,91.3965
0.0267,15.885,0.0319,12.4845,183.1387,93.68
0.006,13.0705,0.0284,12.2574,160.8076,75.7926
0.0287,7.2827,0.0313,6.2868,44.9797,98.3769
0.0083,19.4798,0.0288,17.0151,317.0017,70.1632
0.0129,27.373,0.0252,21.8402,553.983,76.0136
0.0204,12.271,0.0266,10.5105,124.4404,93.6662
0.0029,5.9138,0.0091,5.4348,32.3812,96.6813
0.007,24.8789,0.0124,22.2619,536.6517,88.6208
0.0088,6.4011,0.0146,5.812,37.1973,96.6797
0.0126,14.1793,0.01,12.8378,180.0797,103.3888
0.0023,3.8905,0.0141,3.4633,13.7398,95.984
0.0087,0.9637,0.0141,0.4965,0.493,99.7319
0.0136,7.4716,0.0127,6.6597,48.906,100.601
0.0094,1.2567,0.0105,0.9925,1.4797,99.8909
0.0052,3.3511,0.0092,2.9669,10.3139,98.8191
0.0116,19.5072,0.0079,17.5183,336.6419,106.6746
0.0397,2.7077,0.0422,2.3545,6.8268,99.4127
0.0346,4.5585,0.0393,4.1212,19.7425,98.0787
0.0267,2.245,0.0395,1.9223,4.681,97.5616
0.0345,0.9008,0.0438,0.4893,0.4788,99.545
0.0386,0.6653,0.0401,0.4902,0.4805,99.9265
0.0325,12.1697,0.0422,9.7095,111.1426,90.94
0.0243,4.6242,0.0406,4.1955,20.2176,93.3573
0.0355,1.191,0.0387,0.9725,1.4268,99.6891
0.0293,1.3963,0.0434,0.9716,1.423,98.6346
0.0255,2.6776,0.0381,2.3911,6.979,97.0223
